IMPEDANCE MEASUREMENT 
2:56:13.875 PM 2024-06-18
Chamber temperature (K): 294.94
Chamber pressure (MPa): -345.23
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 240Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 198.961411 	 -0.096915 	
1 	 962390.687500 	 198.994995 	 -0.092689 	
2 	 926203.125000 	 199.041458 	 -0.103493 	
3 	 891328.125000 	 199.039352 	 -0.104991 	
4 	 857765.625000 	 199.027740 	 -0.111786 	
5 	 825421.937500 	 199.116669 	 -0.106870 	
6 	 794390.625000 	 199.082382 	 -0.126832 	
7 	 764484.375000 	 199.123550 	 -0.115904 	
8 	 735703.125000 	 199.114365 	 -0.123894 	
9 	 707953.125000 	 199.127151 	 -0.112022 	
10 	 681328.125000 	 199.166962 	 -0.130955 	
11 	 655734.375000 	 199.111084 	 -0.140771 	
12 	 630984.375000 	 199.188141 	 -0.149682 	
13 	 607265.625000 	 199.245148 	 -0.140415 	
14 	 584390.625000 	 199.227982 	 -0.125535 	
15 	 562359.375000 	 199.223938 	 -0.143332 	
16 	 541171.875000 	 199.266861 	 -0.165768 	
17 	 520828.093750 	 199.270920 	 -0.160314 	
18 	 501234.375000 	 199.246323 	 -0.156702 	
19 	 482390.625000 	 199.307831 	 -0.144748 	
20 	 464203.125000 	 199.260971 	 -0.185153 	
21 	 446765.625000 	 199.252518 	 -0.158200 	
22 	 429890.656250 	 199.325043 	 -0.184321 	
23 	 413765.625000 	 199.292496 	 -0.178605 	
24 	 398109.375000 	 199.310547 	 -0.185666 	
25 	 383203.125000 	 199.365433 	 -0.180790 	
26 	 368765.625000 	 199.345825 	 -0.192939 	
27 	 354890.656250 	 199.320160 	 -0.223355 	
28 	 341484.375000 	 199.323914 	 -0.199719 	
29 	 328640.625000 	 199.269135 	 -0.209567 	
30 	 316265.625000 	 199.300003 	 -0.220427 	
31 	 304359.375000 	 199.355301 	 -0.234508 	
